hour_of_day,day_of_week,is_weekend,is_night,location_type,incident_count_7d,incident_count_30d,lighting_score,crowd_density,safety_label
18,2,0,0,2,16,22,0.7936,0.6761,1
11,4,0,0,0,12,14,0.9859,0.6159,2
20,1,0,1,3,2,7,0.076,0.3374,1
12,6,1,0,0,4,7,0.8414,0.5335,3
6,0,0,0,0,19,32,0.1721,0.2044,1
5,5,1,0,2,18,20,0.1309,0.0878,1
7,3,0,0,1,17,18,0.7292,0.733,1
14,5,1,0,0,7,15,0.4459,0.3841,2
5,3,0,0,3,6,14,0.7939,0.7557,2
21,1,0,1,2,16,24,0.2826,0.4883,1
11,5,1,0,4,0,2,0.2132,0.8098,3
20,4,0,1,2,17,24,0.5488,0.7396,1
16,3,0,0,2,12,25,0.1153,0.7641,2
8,2,0,0,4,12,13,0.2787,0.4293,2
5,2,0,0,0,8,19,0.1662,0.9612,2
17,3,0,0,1,19,20,0.32,0.4053,1
7,1,0,0,3,14,17,0.7655,0.7931,1
5,1,0,0,1,1,14,0.1207,0.4896,3
22,1,0,1,4,10,14,0.6119,0.2351,1
11,0,0,0,1,17,24,0.5848,0.6289,1
1,6,1,1,2,1,6,0.5381,0.4691,2
11,1,0,0,4,14,23,0.4842,0.2641,2
11,1,0,0,1,4,10,0.6639,0.3825,3
20,1,0,1,4,10,16,0.8518,0.1599,2
17,6,1,0,0,17,29,0.162,0.987,1
4,3,0,1,1,9,17,0.8141,0.6432,2
3,2,0,1,2,0,8,0.0615,0.1735,1
14,2,0,0,2,0,12,0.4821,0.7646,3
1,0,0,1,4,14,20,0.5115,0.6019,1
7,2,0,0,4,18,30,0.1976,0.7226,1
3,1,0,1,3,5,15,0.0269,0.5845,1
0,5,1,1,3,18,31,0.0225,0.0605,1
22,0,0,1,1,9,15,0.0372,0.2032,1
2,2,0,1,4,1,9,0.5736,0.7687,3
0,5,1,1,3,10,11,0.0466,0.7544,1
22,5,1,1,0,19,20,0.8087,0.7539,1
4,3,0,1,4,5,6,0.899,0.0152,2
19,1,0,0,1,19,28,0.2924,0.8052,1
0,2,0,1,2,13,17,0.1645,0.4391,1
3,1,0,1,2,7,11,0.4096,0.6937,1
2,4,0,1,4,13,22,0.8816,0.2721,1
16,2,0,0,1,8,13,0.3998,0.7695,2
14,4,0,0,1,1,3,0.1083,0.9823,3
11,4,0,0,0,17,25,0.9847,0.2535,2
5,6,1,0,1,7,15,0.4997,0.7842,3
2,2,0,1,0,11,13,0.3424,0.605,1
13,6,1,0,2,14,18,0.8936,0.2731,1
5,2,0,0,4,1,4,0.9274,0.2944,3
14,4,0,0,2,14,24,0.4968,0.7316,1
16,4,0,0,4,7,10,0.3067,0.2843,3
20,5,1,1,4,10,10,0.4826,0.0478,1
11,3,0,0,0,9,13,0.2193,0.874,3
0,5,1,1,2,15,22,0.4782,0.5889,1
6,2,0,0,2,3,14,0.2294,0.7585,3
20,3,0,1,1,2,2,0.6222,0.6032,2
12,3,0,0,4,8,21,0.7599,0.5165,3
14,4,0,0,1,2,6,0.9694,0.77,3
10,4,0,0,0,4,9,0.8426,0.0322,3
3,0,0,1,2,13,13,0.0861,0.3119,1
21,5,1,1,1,16,20,0.2115,0.6275,1
18,5,1,0,1,13,20,0.5317,0.944,2
23,0,0,1,2,6,15,0.2576,0.3937,1
20,6,1,1,3,16,27,0.0043,0.9753,1
6,4,0,0,1,8,15,0.7548,0.7553,3
6,0,0,0,1,3,4,0.3578,0.4849,3
5,3,0,0,0,15,20,0.0661,0.4292,1
22,5,1,1,1,10,21,0.5088,0.1294,1
13,1,0,0,2,7,16,0.9772,0.6152,2
10,6,1,0,3,13,21,0.6785,0.0524,1
23,2,0,1,1,14,21,0.1588,0.4291,1
14,1,0,0,0,4,11,0.5143,0.2377,3
21,2,0,1,2,2,16,0.9017,0.9563,2
23,3,0,1,3,10,18,0.0163,0.3633,1
1,4,0,1,0,1,9,0.6379,0.4893,2
8,6,1,0,2,12,17,0.7213,0.3755,1
17,1,0,0,0,8,15,0.704,0.1372,3
19,6,1,0,2,4,14,0.1502,0.3526,1
3,3,0,1,3,11,23,0.2722,0.779,1
7,0,0,0,3,7,18,0.3223,0.6212,1
13,6,1,0,3,7,16,0.0517,0.4374,2
19,2,0,0,3,4,15,0.0832,0.8206,2
2,4,0,1,1,13,13,0.4576,0.0041,1
14,4,0,0,4,18,22,0.04,0.8266,2
7,0,0,0,1,12,15,0.7796,0.0595,2
5,1,0,0,1,4,13,0.8658,0.8703,3
12,4,0,0,3,16,27,0.0134,0.9476,1
9,2,0,0,1,2,4,0.81,0.8192,3
15,0,0,0,0,5,7,0.9812,0.0196,3
7,0,0,0,3,0,7,0.0304,0.5262,2
19,5,1,0,3,16,30,0.725,0.8288,1
1,1,0,1,2,0,0,0.9991,0.545,2
20,0,0,1,0,10,23,0.7971,0.3599,2
0,3,0,1,3,3,5,0.1516,0.4707,1
17,0,0,0,0,4,8,0.8848,0.0807,3
8,4,0,0,2,12,21,0.7079,0.4963,2
9,3,0,0,2,16,26,0.2925,0.0278,1
0,4,0,1,3,0,13,0.0673,0.6441,1
16,3,0,0,4,3,3,0.5125,0.3905,3
3,5,1,1,0,5,5,0.373,0.1913,1
15,4,0,0,0,18,25,0.3295,0.0174,2
17,2,0,0,2,1,9,0.1779,0.9221,3
20,0,0,1,4,3,6,0.8453,0.5563,2
16,1,0,0,0,8,17,0.705,0.647,3
7,0,0,0,2,6,9,0.3313,0.7794,2
17,0,0,0,2,0,13,0.2377,0.6266,3
19,1,0,0,1,10,12,0.1281,0.4131,2
7,1,0,0,3,12,21,0.1125,0.6276,1
2,0,0,1,1,3,10,0.6255,0.2525,2
21,2,0,1,2,13,14,0.1088,0.5614,1
3,3,0,1,4,1,10,0.9602,0.2056,2
14,1,0,0,1,14,16,0.2791,0.9174,2
5,1,0,0,0,5,13,0.0258,0.5096,2
3,0,0,1,4,4,13,0.8553,0.2338,2
18,0,0,0,1,3,4,0.3676,0.6396,3
3,1,0,1,3,17,20,0.1029,0.0903,1
16,3,0,0,3,10,14,0.1186,0.434,1
16,4,0,0,2,13,26,0.6604,0.866,2
1,5,1,1,0,4,7,0.3588,0.7679,1
4,4,0,1,4,1,14,0.823,0.7034,2
19,4,0,0,3,0,8,0.6306,0.4706,2
12,6,1,0,2,8,22,0.8799,0.4469,2
2,1,0,1,4,6,18,0.6226,0.0113,2
23,5,1,1,3,15,19,0.2338,0.6,1
6,6,1,0,3,15,23,0.6965,0.577,1
0,3,0,1,0,6,16,0.4626,0.0053,2
22,5,1,1,3,8,9,0.2066,0.137,1
0,0,0,1,1,7,16,0.6636,0.0124,1
13,6,1,0,0,13,19,0.0067,0.2532,1
23,3,0,1,1,12,12,0.6986,0.0039,1
13,1,0,0,0,13,26,0.2622,0.4174,2
14,0,0,0,0,1,4,0.5418,0.4764,3
9,5,1,0,3,6,19,0.1113,0.4371,1
3,3,0,1,2,19,22,0.023,0.1994,1
13,2,0,0,1,6,14,0.0151,0.5236,2
21,2,0,1,0,3,8,0.1582,0.8141,2
2,6,1,1,3,3,16,0.006,0.2912,1
21,2,0,1,3,0,14,0.0397,0.3126,1
9,0,0,0,2,15,26,0.5592,0.5428,1
12,1,0,0,0,0,12,0.4003,0.2338,3
3,1,0,1,0,11,22,0.9807,0.3378,2
14,4,0,0,0,7,11,0.8087,0.4524,3
4,5,1,1,0,1,14,0.1468,0.3863,2
6,5,1,0,4,17,24,0.4168,0.8182,1
17,4,0,0,1,14,19,0.431,0.849,2
1,5,1,1,3,16,18,0.1086,0.4029,1
10,2,0,0,4,18,28,0.4956,0.4478,1
14,4,0,0,4,18,22,0.6699,0.9569,2
3,0,0,1,1,14,23,0.6409,0.5031,1
7,3,0,0,2,10,10,0.3571,0.993,2
8,3,0,0,2,13,22,0.705,0.7628,2
15,0,0,0,0,8,17,0.2895,0.2642,2
23,3,0,1,3,3,10,0.2506,0.2291,1
20,5,1,1,2,7,16,0.9644,0.1591,1
4,2,0,1,1,9,23,0.2947,0.8061,2
0,3,0,1,2,0,12,0.7847,0.3069,2
1,2,0,1,3,16,22,0.244,0.6758,1
14,1,0,0,0,18,31,0.4908,0.5401,2
3,0,0,1,3,8,22,0.0263,0.826,1
5,2,0,0,4,9,11,0.7862,0.7508,3
20,5,1,1,3,16,21,0.1222,0.0637,1
20,6,1,1,3,9,20,0.0624,0.3384,1
20,4,0,1,0,13,20,0.6267,0.5201,1
6,4,0,0,3,10,12,0.4369,0.8036,1
14,4,0,0,3,5,12,0.0876,0.714,1
14,3,0,0,2,15,20,0.9837,0.5494,2
4,2,0,1,2,3,14,0.2447,0.8084,2
13,4,0,0,3,4,11,0.511,0.4349,2
12,5,1,0,0,13,15,0.6673,0.0557,2
9,2,0,0,1,14,14,0.1151,0.8705,2
18,3,0,0,3,19,23,0.7394,0.5266,1
16,3,0,0,4,14,16,0.6483,0.8084,2
12,1,0,0,1,0,13,0.4938,0.3921,3
17,2,0,0,2,16,20,0.5283,0.5886,1
18,0,0,0,4,8,17,0.9548,0.3311,3
13,3,0,0,0,0,1,0.9109,0.4096,3
6,4,0,0,1,11,17,0.112,0.1474,2
18,4,0,0,0,3,17,0.3688,0.7416,3
17,6,1,0,1,8,17,0.5168,0.2803,2
23,0,0,1,3,9,13,0.276,0.3017,1
3,5,1,1,1,1,12,0.8166,0.3542,3
10,5,1,0,4,17,24,0.3865,0.4321,1
22,3,0,1,4,10,13,0.8862,0.5762,2
12,1,0,0,4,19,33,0.3782,0.6828,1
22,2,0,1,3,9,23,0.0814,0.6757,1
0,4,0,1,3,11,19,0.183,0.4237,1
0,6,1,1,2,16,16,0.3559,0.4819,1
19,4,0,0,4,4,10,0.6224,0.1403,3
8,3,0,0,0,18,25,0.4097,0.5215,1
12,4,0,0,3,3,16,0.7958,0.8771,2
10,0,0,0,0,19,29,0.9543,0.4604,2
9,4,0,0,1,12,15,0.2703,0.938,2
22,0,0,1,1,10,17,0.51,0.1558,1
2,6,1,1,3,4,6,0.2173,0.7369,1
18,6,1,0,3,11,18,0.1585,0.708,1
21,3,0,1,0,11,19,0.7959,0.6815,1
15,2,0,0,3,19,26,0.583,0.6629,1
9,5,1,0,1,16,22,0.1497,0.0223,1
3,4,0,1,0,9,15,0.8682,0.7421,2
16,4,0,0,2,7,18,0.4267,0.4997,2
11,3,0,0,2,7,14,0.1766,0.5242,2
3,1,0,1,1,7,7,0.1954,0.0509,1
8,0,0,0,1,0,11,0.7855,0.1884,3
23,1,0,1,4,0,9,0.9357,0.911,3
6,3,0,0,1,15,25,0.3782,0.3155,1
4,2,0,1,4,5,15,0.0788,0.3939,1
16,3,0,0,4,8,10,0.1008,0.1892,2
4,1,0,1,1,13,27,0.6545,0.6322,1
22,6,1,1,2,12,26,0.3708,0.7407,1
20,2,0,1,3,7,9,0.1278,0.9213,1
23,5,1,1,2,15,18,0.337,0.5621,1
21,2,0,1,2,3,6,0.4655,0.2756,2
5,3,0,0,1,9,23,0.6435,0.071,2
5,4,0,0,0,2,15,0.5411,0.2661,3
8,1,0,0,0,10,13,0.1642,0.6184,2
11,1,0,0,1,1,10,0.4913,0.9741,3
21,2,0,1,3,18,21,0.1382,0.0792,1
17,5,1,0,1,13,13,0.5457,0.3884,2
15,1,0,0,0,4,7,0.1107,0.6672,2
21,3,0,1,1,12,13,0.1535,0.5746,1
15,4,0,0,2,6,18,0.5302,0.6517,2
9,4,0,0,1,10,21,0.2754,0.4632,2
9,3,0,0,1,3,5,0.629,0.267,3
12,0,0,0,0,10,18,0.3728,0.4828,2
2,0,0,1,1,2,5,0.2207,0.3815,2
17,3,0,0,1,3,11,0.6564,0.7093,3
15,5,1,0,4,11,24,0.3939,0.1716,2
17,0,0,0,4,10,23,0.1576,0.4961,2
12,6,1,0,1,5,17,0.8088,0.9591,3
18,4,0,0,0,1,4,0.4318,0.5318,3
22,0,0,1,0,8,10,0.9151,0.2372,2
13,2,0,0,1,18,20,0.1934,0.9359,1
10,1,0,0,2,14,15,0.8764,0.2442,2
2,6,1,1,2,1,10,0.8159,0.7512,2
18,3,0,0,1,18,27,0.1039,0.1095,2
21,2,0,1,1,8,21,0.5317,0.8521,2
16,1,0,0,1,11,12,0.6537,0.1806,2
20,3,0,1,2,0,3,0.4955,0.3942,1
20,0,0,1,3,6,16,0.1171,0.9656,1
19,1,0,0,0,15,25,0.9438,0.5794,2
12,1,0,0,2,6,12,0.7008,0.264,2
2,4,0,1,3,3,5,0.2898,0.0006,1
0,4,0,1,3,1,8,0.2539,0.0068,1
4,3,0,1,2,18,20,0.8171,0.2746,1
10,0,0,0,2,16,24,0.7256,0.5269,1
17,2,0,0,3,0,13,0.6461,0.4849,2
10,5,1,0,1,18,20,0.8869,0.9219,2
0,1,0,1,2,16,17,0.6134,0.7641,1
5,1,0,0,1,7,18,0.0753,0.9247,2
23,0,0,1,2,13,13,0.5826,0.5118,1
23,5,1,1,0,5,19,0.1028,0.4467,1
9,0,0,0,1,4,15,0.9493,0.5661,3
19,4,0,0,0,14,20,0.6467,0.3721,2
17,6,1,0,1,4,9,0.5556,0.2108,2
22,4,0,1,2,7,12,0.1978,0.8367,1
21,2,0,1,2,7,12,0.5158,0.6805,2
15,1,0,0,4,3,15,0.3425,0.3257,3
9,0,0,0,0,16,27,0.6754,0.4463,2
15,1,0,0,4,13,16,0.6044,0.2254,2
7,6,1,0,1,17,19,0.4993,0.5628,1
8,1,0,0,3,10,18,0.2527,0.3584,1
14,0,0,0,3,3,12,0.5257,0.8756,2
13,5,1,0,4,5,15,0.4617,0.5284,3
13,2,0,0,0,7,11,0.8513,0.4117,3
9,2,0,0,4,18,25,0.8943,0.7496,2
9,5,1,0,0,4,5,0.7592,0.9051,3
0,3,0,1,4,13,19,0.3196,0.8174,1
14,6,1,0,3,2,12,0.0381,0.4949,1
13,3,0,0,2,19,23,0.9253,0.3564,1
22,4,0,1,1,12,16,0.992,0.6621,2
12,6,1,0,0,8,14,0.127,0.8169,2
11,3,0,0,4,6,18,0.6856,0.9786,3
1,1,0,1,3,7,16,0.1275,0.4573,1
4,6,1,1,4,4,17,0.1485,0.6682,2
8,1,0,0,3,11,11,0.9981,0.2931,1
9,0,0,0,4,17,29,0.9332,0.0875,2
8,4,0,0,4,4,4,0.9826,0.2531,3
9,6,1,0,2,14,18,0.1439,0.0145,1
18,0,0,0,3,11,17,0.4919,0.5094,1
3,5,1,1,1,15,18,0.8958,0.3732,1
7,5,1,0,3,15,29,0.6752,0.6783,1
3,6,1,1,3,0,13,0.1304,0.6153,1
7,2,0,0,2,0,8,0.5167,0.1679,3
16,1,0,0,3,18,24,0.0386,0.6738,1
1,3,0,1,1,3,14,0.6115,0.1874,2
8,0,0,0,3,11,21,0.8597,0.006,1
0,5,1,1,2,15,22,0.0028,0.9702,1
22,4,0,1,1,10,22,0.16,0.027,1
17,3,0,0,4,0,2,0.518,0.3417,3
5,3,0,0,0,0,4,0.561,0.6375,3
4,4,0,1,3,13,13,0.103,0.3704,1
2,3,0,1,1,17,18,0.0279,0.3812,1
11,5,1,0,1,6,8,0.7436,0.7227,2
18,6,1,0,0,10,19,0.2429,0.6022,2
14,6,1,0,0,18,30,0.6446,0.5184,1
21,4,0,1,0,16,24,0.5591,0.8863,1
8,5,1,0,4,10,16,0.4308,0.1081,2
6,2,0,0,4,13,17,0.5903,0.4698,2
11,0,0,0,2,19,20,0.695,0.2391,1
4,2,0,1,0,15,23,0.5722,0.0368,1
23,6,1,1,4,8,10,0.5575,0.979,1
4,0,0,1,3,13,24,0.1308,0.734,1
11,3,0,0,2,6,12,0.43,0.2162,2
12,1,0,0,4,18,23,0.491,0.4024,1
1,3,0,1,2,1,1,0.4521,0.226,1
11,1,0,0,1,4,7,0.439,0.6849,2
10,5,1,0,3,6,6,0.2104,0.3504,1
6,5,1,0,2,4,14,0.7248,0.9199,2
3,5,1,1,3,11,18,0.0399,0.2076,1
1,4,0,1,3,14,25,0.2726,0.3498,1
0,1,0,1,4,17,25,0.6248,0.9318,1
11,3,0,0,1,10,24,0.0489,0.8847,2
2,0,0,1,0,12,23,0.659,0.2932,2
23,2,0,1,2,11,13,0.3615,0.4831,1
5,3,0,0,3,0,1,0.9298,0.8837,3
15,4,0,0,4,14,27,0.9361,0.6706,2
16,0,0,0,1,0,4,0.8459,0.6373,3
11,5,1,0,3,10,21,0.5678,0.6606,1
21,3,0,1,4,19,28,0.9192,0.921,1
2,6,1,1,4,15,25,0.6498,0.5172,1
5,3,0,0,4,10,14,0.8751,0.1818,2
6,3,0,0,4,6,10,0.1601,0.4727,2
3,4,0,1,3,16,24,0.2713,0.7289,1
7,5,1,0,1,17,17,0.6616,0.4921,1
7,1,0,0,2,7,11,0.3033,0.3133,2
18,3,0,0,3,2,9,0.9978,0.6663,3
7,0,0,0,1,11,14,0.6869,0.4502,2
21,3,0,1,3,12,16,0.2725,0.9628,1
18,5,1,0,2,18,32,0.0056,0.3521,1
21,6,1,1,3,17,21,0.1657,0.7175,1
2,1,0,1,2,4,17,0.7125,0.5551,1
23,2,0,1,3,5,18,0.0041,0.0776,1
14,3,0,0,0,19,29,0.7626,0.4698,2
23,2,0,1,3,6,8,0.1954,0.0292,1
8,1,0,0,4,9,12,0.2748,0.7898,3
22,2,0,1,4,6,20,0.6889,0.7345,2
14,2,0,0,4,7,7,0.1309,0.0505,2
1,3,0,1,1,11,18,0.824,0.4997,1
9,6,1,0,0,5,13,0.8662,0.9615,3
3,3,0,1,3,8,20,0.1456,0.2846,1
22,2,0,1,0,7,20,0.5074,0.9043,2
7,4,0,0,1,2,6,0.4021,0.1511,3
5,5,1,0,3,15,22,0.3453,0.0066,1
13,3,0,0,2,17,26,0.8729,0.5305,1
10,3,0,0,3,9,23,0.3049,0.2392,1
2,1,0,1,3,4,12,0.1209,0.8792,1
19,6,1,0,0,12,13,0.2999,0.6739,2
20,6,1,1,3,10,23,0.197,0.6869,1
17,1,0,0,2,11,18,0.8142,0.6733,2
14,2,0,0,2,11,13,0.1643,0.679,2
9,1,0,0,2,14,16,0.2547,0.7471,1
13,6,1,0,2,0,3,0.1041,0.6699,3
12,0,0,0,2,1,11,0.1602,0.8343,3
3,1,0,1,1,1,15,0.4069,0.5581,2
1,2,0,1,1,3,9,0.7759,0.3507,2
6,3,0,0,0,19,20,0.5416,0.4668,1
10,1,0,0,1,14,27,0.0533,0.4402,2
3,3,0,1,1,13,22,0.6251,0.3325,1
2,5,1,1,2,13,21,0.7953,0.4155,1
20,5,1,1,4,0,0,0.3935,0.385,2
8,0,0,0,0,4,18,0.245,0.1111,2
14,0,0,0,1,15,16,0.7639,0.8306,2
12,0,0,0,0,9,18,0.0239,0.7565,2
17,6,1,0,4,10,18,0.8156,0.3375,2
17,4,0,0,3,15,22,0.8043,0.9451,1
7,3,0,0,1,1,9,0.888,0.9494,3
20,5,1,1,2,15,20,0.0895,0.8567,1
8,4,0,0,3,13,21,0.1078,0.0294,1
20,1,0,1,4,8,13,0.8728,0.3712,2
9,3,0,0,2,9,16,0.4753,0.4573,2
2,4,0,1,1,1,11,0.3923,0.7187,2
18,0,0,0,3,4,15,0.5733,0.6348,2
0,4,0,1,3,4,6,0.0176,0.6784,1
18,3,0,0,3,17,31,0.6437,0.7672,1
1,0,0,1,0,2,3,0.9451,0.9484,3
4,1,0,1,3,5,9,0.2027,0.5515,1
14,3,0,0,0,2,7,0.4645,0.904,3
22,2,0,1,4,5,9,0.9609,0.8148,2
9,2,0,0,4,0,5,0.6885,0.3379,3
2,4,0,1,2,5,9,0.057,0.8137,1
5,2,0,0,3,14,20,0.67,0.1173,1
21,3,0,1,0,15,26,0.0597,0.1588,1
17,5,1,0,4,7,19,0.3072,0.9924,2
2,0,0,1,1,14,19,0.6157,0.4287,1
9,2,0,0,1,12,15,0.2156,0.4606,2
6,0,0,0,3,18,28,0.0382,0.951,1
4,6,1,1,4,16,16,0.618,0.3618,1
20,1,0,1,2,4,10,0.2859,0.237,1
14,5,1,0,2,11,14,0.533,0.0778,2
4,1,0,1,2,15,24,0.2611,0.5226,1
15,2,0,0,1,6,7,0.6864,0.1997,3
9,4,0,0,2,11,23,0.8957,0.0648,2
1,5,1,1,4,8,12,0.0866,0.8131,1
10,1,0,0,1,6,13,0.7863,0.3286,3
4,1,0,1,3,3,11,0.0468,0.5794,1
5,6,1,0,3,0,7,0.3294,0.1046,2
21,2,0,1,4,14,20,0.3574,0.5056,1
17,1,0,0,3,16,20,0.2063,0.6318,1
3,5,1,1,4,13,24,0.0752,0.4499,1
20,0,0,1,3,4,11,0.2305,0.3375,1
13,6,1,0,4,0,3,0.7936,0.311,3
20,6,1,1,3,12,15,0.299,0.1094,1
17,5,1,0,4,3,9,0.9346,0.1157,3
8,2,0,0,4,10,22,0.4346,0.4957,2
12,0,0,0,4,19,33,0.1334,0.1388,1
12,2,0,0,2,0,5,0.0107,0.2235,2
17,2,0,0,3,11,16,0.5315,0.1648,1
5,6,1,0,4,19,20,0.8606,0.8025,2
7,4,0,0,1,6,14,0.2679,0.4497,3
5,6,1,0,0,16,19,0.1989,0.5526,1
7,5,1,0,4,16,28,0.439,0.583,2
3,5,1,1,3,9,17,0.2681,0.3964,1
0,0,0,1,2,6,9,0.4517,0.2984,1
22,0,0,1,3,13,26,0.2168,0.3824,1
1,0,0,1,0,12,24,0.4625,0.5348,1
21,4,0,1,2,9,13,0.373,0.3586,1
0,1,0,1,1,3,4,0.4409,0.1366,2
18,6,1,0,1,14,17,0.7684,0.9137,2
7,0,0,0,4,4,9,0.7544,0.7324,3
12,6,1,0,2,2,8,0.4318,0.0663,2
6,4,0,0,0,1,13,0.2676,0.9057,3
11,0,0,0,1,8,22,0.1391,0.1705,2
10,0,0,0,1,2,13,0.0014,0.0977,3
12,2,0,0,4,6,18,0.1133,0.1732,3
9,2,0,0,1,4,5,0.1647,0.933,3
12,2,0,0,1,9,11,0.6899,0.2213,3
19,3,0,0,1,15,28,0.8179,0.787,2
10,0,0,0,0,9,18,0.7369,0.643,3
8,0,0,0,3,11,14,0.7232,0.5182,1
3,4,0,1,2,2,13,0.9943,0.3656,2
8,6,1,0,2,2,4,0.9626,0.0929,3
3,1,0,1,1,19,30,0.2688,0.7107,1
4,6,1,1,3,12,25,0.0435,0.3948,1
22,2,0,1,0,0,7,0.1533,0.535,2
2,2,0,1,4,11,20,0.8956,0.0518,1
11,0,0,0,2,0,10,0.1023,0.7759,3
20,2,0,1,1,1,14,0.3401,0.6923,2
22,3,0,1,2,7,15,0.5303,0.5293,1
3,4,0,1,4,13,17,0.6135,0.4963,1
3,1,0,1,0,12,15,0.5957,0.337,1
8,1,0,0,2,15,20,0.7864,0.3424,2
13,3,0,0,2,3,3,0.5717,0.0685,3
23,0,0,1,4,3,13,0.851,0.6867,2
4,1,0,1,2,10,15,0.0846,0.045,1
3,4,0,1,3,17,27,0.2577,0.0014,1
6,6,1,0,3,14,14,0.59,0.031,1
20,4,0,1,4,13,17,0.2229,0.2034,1
0,1,0,1,1,1,6,0.9777,0.5702,3
9,6,1,0,3,17,18,0.9397,0.6812,1
2,3,0,1,1,19,31,0.8457,0.4207,1
3,5,1,1,4,11,19,0.9116,0.4086,1
22,1,0,1,4,6,18,0.3821,0.5768,2
0,4,0,1,1,13,25,0.2278,0.5968,1
7,0,0,0,2,12,12,0.1829,0.845,2
21,4,0,1,4,18,30,0.8738,0.8191,1
14,1,0,0,0,2,3,0.8266,0.8235,3
1,6,1,1,3,10,23,0.2943,0.8442,1
11,0,0,0,4,14,24,0.8483,0.8798,2
23,4,0,1,4,6,18,0.6324,0.5553,1
9,0,0,0,0,16,23,0.1423,0.5952,2
12,4,0,0,3,1,3,0.1648,0.7272,2
12,3,0,0,3,2,4,0.4737,0.199,2
15,6,1,0,0,15,16,0.7678,0.3605,1
4,4,0,1,3,2,14,0.052,0.9127,1
20,2,0,1,3,8,16,0.2747,0.5228,1
23,0,0,1,4,5,8,0.6838,0.0518,2
3,4,0,1,0,13,14,0.3123,0.4056,1
19,3,0,0,4,0,1,0.8858,0.1608,3
19,0,0,0,2,7,10,0.5986,0.3563,2
17,4,0,0,1,19,30,0.7332,0.545,2
8,1,0,0,1,7,20,0.3854,0.5051,3
11,1,0,0,3,11,20,0.3936,0.4905,1
20,0,0,1,4,19,33,0.0126,0.0183,1
3,2,0,1,1,12,17,0.5379,0.4451,2
19,1,0,0,4,15,19,0.7608,0.029,2
22,0,0,1,3,19,29,0.2906,0.4049,1
16,3,0,0,0,12,14,0.8922,0.647,3
8,1,0,0,2,16,29,0.087,0.1259,1
13,0,0,0,4,10,21,0.9805,0.9168,3
1,3,0,1,0,16,16,0.1495,0.6305,1
22,0,0,1,0,12,14,0.0411,0.2176,1
8,6,1,0,0,6,15,0.7489,0.3941,2
1,3,0,1,2,11,22,0.9059,0.0969,1
19,6,1,0,0,6,9,0.9498,0.0221,2
15,6,1,0,4,7,18,0.825,0.9159,3
14,6,1,0,0,5,12,0.2049,0.6752,2
1,3,0,1,0,9,19,0.154,0.7796,1
18,2,0,0,1,6,12,0.059,0.6222,3
15,5,1,0,3,12,18,0.582,0.9068,1
19,0,0,0,4,7,12,0.4872,0.8959,3
19,5,1,0,1,9,11,0.1093,0.0582,2
5,2,0,0,2,2,4,0.4648,0.1895,2
5,0,0,0,3,7,9,0.5673,0.3958,1
22,1,0,1,3,7,19,0.2169,0.3411,1
12,1,0,0,0,19,25,0.4142,0.5256,1
10,0,0,0,4,8,13,0.3184,0.2665,2
6,4,0,0,4,0,12,0.6657,0.7975,3
15,0,0,0,3,6,19,0.6842,0.0075,2
18,5,1,0,2,14,17,0.2704,0.7915,1
0,3,0,1,1,3,8,0.0198,0.3934,2
13,5,1,0,4,3,9,0.9457,0.0051,3
23,2,0,1,4,7,19,0.7553,0.8471,2
6,0,0,0,2,7,17,0.2011,0.4468,2
6,1,0,0,3,9,17,0.5657,0.7247,1
21,4,0,1,1,0,3,0.5949,0.8784,3
1,5,1,1,3,14,19,0.0378,0.0343,1
9,1,0,0,0,4,4,0.1917,0.2622,2
10,2,0,0,4,14,24,0.9567,0.1189,2
19,6,1,0,2,11,24,0.508,0.098,1
3,5,1,1,2,4,15,0.1914,0.9456,1
10,2,0,0,0,9,13,0.7976,0.8056,3
3,1,0,1,2,0,7,0.4706,0.3647,2
18,2,0,0,0,14,28,0.6384,0.6873,3
15,3,0,0,4,6,12,0.2975,0.9194,3
11,3,0,0,3,7,19,0.0579,0.2208,1
9,1,0,0,2,3,11,0.1649,0.0142,2
3,0,0,1,4,7,14,0.973,0.8241,2
22,3,0,1,4,7,15,0.6236,0.7227,2
15,5,1,0,0,4,7,0.8311,0.1603,3
7,1,0,0,0,19,25,0.0215,0.4896,1
9,2,0,0,1,5,9,0.7655,0.1604,3
17,1,0,0,0,3,14,0.485,0.6026,3
17,1,0,0,2,10,19,0.6653,0.6476,2
11,4,0,0,2,6,11,0.3582,0.2767,2
7,2,0,0,2,9,21,0.6209,0.7808,2
15,1,0,0,0,14,20,0.0356,0.4736,1
15,6,1,0,4,1,15,0.0456,0.7064,3
14,1,0,0,4,10,19,0.7988,0.6398,2
1,1,0,1,2,0,13,0.1245,0.4508,2
11,6,1,0,0,0,14,0.014,0.2927,2
14,3,0,0,1,1,5,0.9125,0.2043,3
22,0,0,1,3,3,6,0.0797,0.7459,1
12,2,0,0,3,6,18,0.5824,0.6419,2
8,3,0,0,1,18,21,0.8389,0.2809,2
13,1,0,0,4,18,29,0.7459,0.9671,2
4,3,0,1,4,2,4,0.0466,0.8103,1
2,4,0,1,2,19,32,0.5609,0.1268,1
16,1,0,0,1,12,22,0.5418,0.1626,2
23,5,1,1,2,11,18,0.3501,0.544,1
20,3,0,1,0,15,21,0.7536,0.1024,1
14,6,1,0,2,9,18,0.964,0.9643,2
